n_episodes,n_simulations,t_max,c,gamma,alpha,beta,noise,n_points,final_features,bic,mse
1000,40,15,1.0,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + y,-3500.779446056989,0.7285027571004477
1000,40,15,1.0,0.005,1.0,0.0,0.0,500,exp(x) + exp(y) + exp((exp(exp(x)) * y)) + cos(x) + x,-1777.483526228752,0.6851017058059188
1000,40,15,1.0,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + cos(x) + y,-3500.779446056989,0.7285027571004477
1000,40,15,1.0,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,40,15,1.0,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,20,15,0.5,0.001,0.5,0.0,0.0,500,exp(x) + y + cos(y) + (y * x),-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.001,0.5,0.0,0.0,1000,exp(x) + y + cos(y),-2998.8148934446053,0.6626610485080495
2000,20,15,0.5,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,20,15,0.5,0.001,1.0,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.001,1.0,0.0,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,20,15,0.5,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,20,15,0.5,0.005,0.5,0.0,0.0,500,exp(x) + cos(y) + x + y,-1737.1026740773104,0.6950010933958284
2000,20,15,0.5,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,20,15,0.5,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + y,-3500.779446056989,0.7285027571004477
2000,20,15,0.5,0.005,1.0,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + exp(exp(sin(exp(x)))) + cos(exp(y)) + cos(sin(x)),-3500.779446056989,0.7285027571004477
2000,20,15,0.5,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,0.5,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + y + x,-3500.779446056989,0.7285027571004477
2000,20,15,1.0,0.001,0.5,0.0,0.0,500,exp(x) + (sin(sin(exp(x))) * y) + cos(exp(x)) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.001,0.5,0.0,0.0,1000,exp(x) + cos(y) + exp(exp(exp(cos(y)))) + sin(y) + (y * x),-2998.8148934446053,0.6626610485080495
2000,20,15,1.0,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,20,15,1.0,0.001,1.0,0.0,0.0,500,exp(x) + exp(cos(y)) + exp(y) + exp(exp(y)) + (x * y),-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.001,1.0,0.0,0.0,1000,exp(x) + y + (cos(cos(exp(y))) * cos(y)),-2998.8148934446053,0.6626610485080495
2000,20,15,1.0,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,20,15,1.0,0.005,0.5,0.0,0.0,500,exp(x) + sin(cos(exp((x * y)))) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,20,15,1.0,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + y + x,-3500.779446056989,0.7285027571004477
2000,20,15,1.0,0.005,1.0,0.0,0.0,500,exp(x) + cos(x) + x + y,-1777.483526228752,0.6851017058059188
2000,20,15,1.0,0.005,1.0,0.0,0.0,1000,exp(x) + (x * x) + x,-3500.779446056989,0.7285027571004477
2000,20,15,1.0,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,20,15,1.0,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
2000,40,15,0.5,0.001,0.5,0.0,0.0,500,exp(x) + y + cos(x),-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.001,0.5,0.0,0.0,1000,exp(x) + y + cos(y) + sin((exp(sin(cos(cos(x)))) * cos(exp(exp(y))))) + sin((y * x)),-2998.8148934446053,0.6626610485080495
2000,40,15,0.5,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,0.5,0.001,1.0,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
2000,40,15,0.5,0.001,1.0,0.0,0.0,1000,exp(x) + cos(x) + y,-2998.8148934446053,0.6626610485080495
2000,40,15,0.5,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
