config,locked_features,mse,bic,formula
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((y * x) * x)', '(x * x)', 'x', 'cos(y)', 'y']",0.004871398287369676,-2631.1140897260316,0.6256 * exp(x) + 0.9688 * ((y * x) * x) + -0.3460 * (x * x) + 0.3132 * x + 0.3856 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(exp((x * x)) * y)', '(x * x)', 'y', 'cos(exp(y))', 'x', 'cos(exp(exp((y * y))))']",0.005943843008847968,-5090.86060722178,0.8876 * exp(x) + 0.5855 * (exp((x * x)) * y) + -0.4948 * (x * x) + -0.3385 * y + 0.2173 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * x) * y)', '(x * x)', 'y', 'x', 'cos(y)']",0.004871398287369676,-2631.1140897260316,0.6256 * exp(x) + 0.9688 * ((x * x) * y) + -0.3460 * (x * x) + 0.3132 * x + 0.3856 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(x * (y * x))', '(x * x)', 'cos(exp(cos(y)))', 'y']",0.005372037538049816,-5198.916991506285,0.8852 * exp(x) + 0.9466 * (x * (y * x)) + -0.5065 * (x * x) + -0.1218 * cos(exp(cos(y)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(x) * y)', 'cos(exp((x * x)))', '(x * cos(exp(exp(x))))']",0.007426673013859135,-2420.2656084792056,0.4255 * exp(x) + 1.9876 * y + 0.5248 * cos(x) + 0.5356 * x + -1.9699 * (cos(x) * y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'cos(exp(y))', 'cos(sin(exp(((x * x) * x))))', 'exp(y)']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (cos(x) * y) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(y)', 'x', 'exp(sin(((y * x) * x)))']",0.0063864792958556686,-2501.927634280086,-0.3288 * exp(x) + 0.4495 * cos(y) + 1.3617 * x + 0.9249 * exp(sin(((y * x) * x)))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((x * x) * y)', '(x * x)', 'y', 'cos(exp(y))', 'x']",0.005068999862282961,-5250.072970265497,0.8893 * exp(x) + 0.9511 * ((x * x) * y) + -0.5003 * (x * x) + 0.1983 * y + 0.2165 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(y * x)', '(x * y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
