config,locked_features,mse,bic,formula
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(y * (x * x))', '(x * x)', '(cos(x) * x)', 'y']",0.008187027875908196,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * (y * (x * x)) + -0.4804 * (x * x)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '(y * (cos(exp(x)) * x))', '(x * x)', '((x * x) * y)', 'y', '(x * y)']",0.0075338122469214355,-4867.630824955521,0.9280 * exp(x) + -0.4660 * (x * x) + 0.9393 * ((x * x) * y)
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos((exp(cos(exp(y))) * cos(x)))', 'x']",0.015971065023551945,-2049.844490687199,0.9291 * exp(x) + 1.0586 * y + -0.8388 * cos((exp(cos(exp(y))) * cos(x)))
"{'n_episodes': 200, 'n_simulations': 40, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * (x * (exp(sin(exp((exp(y) * x)))) * x)))', '(x * x)', 'x']",0.009064830989359266,-4682.629813418938,0.9452 * exp(x) + 0.5314 * (y * (x * (exp(sin(exp((exp(y) * x)))) * x))) + -0.3566 * (x * x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'sin(cos(x))']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)', 'exp(exp(cos(x)))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(x) * y)', '(x * y)']",0.00641128121435254,-5015.157374193387,0.4272 * exp(x) + 2.0481 * y + 0.5280 * cos(x) + 0.5243 * x + -2.0647 * (cos(x) * y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)', '(y * x)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(sin(cos(exp(y))))', 'exp(sin((x * exp(exp(exp(cos(y)))))))', 'exp((x * exp(exp(y))))', 'exp(cos(x))', '(x * cos(exp(exp(x))))', 'cos(exp(exp(sin((sin(y) * y)))))', 'cos(exp(exp(sin(y))))', 'exp(exp(exp(sin(x))))', 'y']",0.0392445466481843,-3203.4040069114753,0.8781 * exp(x) + -1.0219 * cos(sin(cos(exp(y)))) + 0.3026 * exp(cos(x)) + -0.1419 * cos(exp(exp(sin((sin(y) * y))))) + 0.4454 * y
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(y * (x * x))', '(x * x)', 'y', 'sin(x)', 'cos(y)']",0.004725640506780264,-2646.3030446243474,0.6267 * exp(x) + 0.9679 * (y * (x * x)) + -0.3462 * (x * x) + 0.3445 * sin(x) + 0.3838 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '((x * sin(x)) * cos(exp(sin(y))))', 'cos(exp((y * y)))', 'cos(sin(exp(sin(x))))', 'sin(exp(((sin(y) * x) * x)))']",0.005158125111332863,-5232.6433396384355,0.7839 * exp(x) + -0.8859 * ((x * sin(x)) * cos(exp(sin(y)))) + 0.1696 * cos(exp((y * y))) + -0.7043 * cos(sin(exp(sin(x)))) + 0.7276 * sin(exp(((sin(y) * x) * x)))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'x', 'cos(y)', '(x * y)', 'sin(exp(y))']",0.004779568695830225,-2634.414835183314,0.6270 * exp(x) + 2.0166 * y + -2.0033 * (y * cos(x)) + -0.3477 * (x * x) + 0.3115 * x + 0.3845 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'x']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (y * cos(x)) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * x) * y)', '(x * x)', 'y', 'sin((cos(x) * x))']",0.008187027875908196,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * ((x * x) * y) + -0.4804 * (x * x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'exp(y)', 'cos(sin(x))', 'exp(sin(((exp(x) * x) * (exp(cos(x)) * x))))', '(cos(y) * y)', 'cos((y * x))']",0.00494938611406008,-5267.045195780035,0.8992 * exp(x) + 2.3302 * y + -2.0417 * (y * cos(x)) + -0.3581 * (x * x) + -0.2686 * exp(y) + 0.3746 * cos(sin(x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(y)', 'x', '(y * cos(x))', 'cos(x)', 'sin(exp(y))', 'exp(exp(y))', 'exp(cos(y))']",0.004620775569648313,-2651.3087092890687,0.2828 * exp(x) + 2.0139 * y + 0.3728 * cos(y) + 0.6901 * x + -2.0004 * (y * cos(x)) + 0.3545 * cos(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'sin((y * (x * x)))', '(x * x)', 'y', 'cos(exp(y))', 'x']",0.004968600192062352,-5270.078353646429,0.8900 * exp(x) + 1.0224 * sin((y * (x * x))) + -0.5022 * (x * x) + 0.1872 * y + 0.2153 * cos(exp(y))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(exp(x))', '(exp((exp(cos(y)) * x)) * cos(x))', 'exp(sin(((exp(sin(exp(y))) * x) * exp(y))))', '(cos(exp(cos(exp(y)))) * x)', '(y * x)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(cos(y))', 'exp(((x * cos(exp(y))) * x))']",0.007567206661605501,-4863.208014902411,0.9054 * exp(x) + 0.3500 * exp(cos(y)) + -0.8116 * exp(((x * cos(exp(y))) * x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(x)', 'x', '(y * cos(x))', '(x * y)', '(y * x)', 'exp(exp(x))']",0.00641128121435254,-5015.157374193387,0.4272 * exp(x) + 2.0481 * y + 0.5280 * cos(x) + 0.5243 * x + -2.0647 * (y * cos(x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(exp(cos(sin(exp(x)))))))', 'exp(exp(cos(sin(x))))', 'exp(exp(exp(exp(x))))', 'sin((y * y))', 'exp((y * x))', 'exp(exp(sin(exp(sin(y)))))', '(sin(cos((exp(y) * (y * y)))) * y)', 'exp(exp((exp(sin(y)) * exp(cos(y)))))', 'sin(exp(exp(y)))', 'exp((x * y))']",0.3476007157900038,-515.9211969822841,0.0930 * exp(exp(sin(exp(sin(y))))) + -0.3814 * (sin(cos((exp(y) * (y * y)))) * y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)', '(sin(exp((y * sin(y)))) * exp(sin(x)))', '(exp(cos(y)) * exp(exp(x)))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * y) * x)', '(x * x)', '(x * exp(y))', 'x', 'cos(y)', '(sin((y * x)) * cos(y))']",0.004871398287369676,-2631.1140897260316,0.6256 * exp(x) + 0.9688 * ((x * y) * x) + -0.3460 * (x * x) + 0.3132 * x + 0.3856 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp((sin(sin(x)) * exp((y * sin(x)))))', 'exp(exp((x * y)))', 'sin(exp(x))', '(exp(cos(x)) * (y * exp(y)))', 'x', 'exp(y)', 'exp(exp(sin(y)))', '((x * exp(x)) * y)', '(x * x)']",0.004904564506927559,-5269.234688493349,-0.0968 * exp(exp((x * y))) + 0.0881 * sin(exp(x)) + -0.4227 * (exp(cos(x)) * (y * exp(y))) + 0.9717 * x + 0.4305 * exp(y) + 0.2789 * exp(exp(sin(y))) + 0.2843 * ((x * exp(x)) * y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'x', 'cos(y)', 'exp(exp(x))', '(y * x)']",0.004779568695830225,-2634.414835183314,0.6270 * exp(x) + 2.0166 * y + -2.0033 * (cos(x) * y) + -0.3477 * (x * x) + 0.3115 * x + 0.3845 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'x']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (y * cos(x)) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'sin(cos(y))', '(x * y)', 'cos((exp(y) * exp(sin(y))))']",0.05209779854561822,-1464.8870765622955,0.8192 * exp(x) + 0.3111 * y
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '((x * x) * cos(cos(y)))', '(sin(y) * y)', 'exp(exp(exp(sin(y))))', '(sin(y) * cos(y))', '(exp(x) * y)', '(x * x)', 'exp(sin(x))']",0.004212561706006436,-5421.330048147935,0.2207 * exp(x) + 2.0439 * y + -2.0514 * (y * cos(x)) + -0.0787 * ((x * x) * cos(cos(y))) + -0.1671 * (sin(y) * y) + -0.3736 * (x * x) + 0.7697 * exp(sin(x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(x)', 'x', '(y * cos(x))', 'cos(y)', '(y * x)', '(x * x)', '(x * y)', 'exp(cos(y))']",0.004620775569648311,-2651.308709289069,0.2828 * exp(x) + 2.0139 * y + 0.3545 * cos(x) + 0.6901 * x + -2.0004 * (y * cos(x)) + 0.3728 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((y * x) * x)', '((x * exp(y)) * x)', 'y']",0.0064529376271519985,-5022.496539951513,0.9271 * exp(x) + 1.3770 * ((y * x) * x) + -0.3931 * ((x * exp(y)) * x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'exp(exp(y))', 'sin(cos(y))', 'cos(sin((sin(x) * cos(y))))', '(y * x)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', 'exp(((y * x) * x))']",0.006307576973476582,-5038.372652923396,-0.2986 * exp(x) + 0.4724 * cos(y) + 1.3264 * x + 0.8704 * exp(((y * x) * x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(y)))', '((x * exp(exp(cos(x)))) * y)', 'cos(exp(x))']",1.2559031069350473,113.92746045512447,dx/dt = 0
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(sin(cos(sin(exp(x)))))', 'exp(exp(y))', 'exp(exp(exp(sin(cos((x * x))))))', 'exp(sin((cos(cos(x)) * exp(exp(x)))))', 'exp(exp(cos((cos(exp(x)) * sin(sin(exp(sin(exp(y)))))))))', 'exp(cos(x))', 'sin((sin(y) * x))', 'sin((exp(y) * x))']",0.061391814277464846,-2762.8477495573393,0.7879 * exp(x) + -0.3904 * exp(sin(cos(sin(exp(x))))) + 0.0732 * exp(sin((cos(cos(x)) * exp(exp(x))))) + 0.0534 * exp(exp(cos((cos(exp(x)) * sin(sin(exp(sin(exp(y)))))))))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(x * y)', 'sin(cos(y))', 'x', '(cos(x) * y)', 'exp(y)', '(exp(sin(y)) * x)', 'cos(exp(exp(exp(x))))', '(x * exp(exp(x)))']",0.004642784425849731,-2655.1474599824314,1.7657 * y + 0.9169 * sin(cos(y)) + 1.0015 * x + -2.0047 * (cos(x) * y) + 0.2268 * exp(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * (exp(y) * x))', 'exp((exp(sin(x)) * x))', 'exp(y)', 'cos((x * exp(exp(x))))', 'exp(cos(cos(exp(exp((sin(y) * cos(sin(y))))))))', 'exp(exp((exp(sin(y)) * x)))', '(exp(y) * x)']",0.0049302615953895484,-5270.91669871624,1.0432 * exp(x) + 2.8359 * y + -2.7997 * (cos(x) * y) + -0.3097 * (x * (exp(y) * x)) + -0.0531 * exp((exp(sin(x)) * x)) + -0.0468 * exp(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'x', 'cos(y)', 'exp(exp(x))', '(y * y)', 'cos(cos(x))']",0.004779568695830225,-2634.414835183314,0.6270 * exp(x) + 2.0166 * y + -2.0033 * (cos(x) * y) + -0.3477 * (x * x) + 0.3115 * x + 0.3845 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * (exp(y) * x))', 'x', 'cos(cos(cos(y)))', 'exp(exp(x))', 'sin(x)']",0.004437323274561484,-5376.257418750698,0.3726 * exp(x) + 2.4318 * y + -2.4398 * (cos(x) * y) + -0.1658 * (x * (exp(y) * x)) + 0.5814 * x + 0.7290 * cos(cos(cos(y)))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * y) * x)', '(x * x)', 'exp(y)', 'y']",0.008187027875908198,-2383.9583475520394,0.9315 * exp(x) + 0.9659 * ((x * y) * x) + -0.4804 * (x * x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(cos(x) * y)', '(x * x)', 'cos(exp(y))', 'x', 'exp(exp(cos(y)))']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (cos(x) * y) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(x)', 'x', '(cos(x) * y)', 'cos(y)', 'exp(cos(y))', 'exp(exp(x))']",0.004620775569648311,-2651.308709289069,0.2828 * exp(x) + 2.0139 * y + 0.3545 * cos(x) + 0.6901 * x + -2.0004 * (cos(x) * y) + 0.3728 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '((sin(cos(exp(sin(y)))) * y) * (((x * x) * cos(y)) * cos(exp(y))))', 'x', 'cos(cos(exp(sin(y))))', 'cos(y)', 'exp(y)', '(cos(x) * y)', 'cos(x)']",0.004187124119917796,-5427.386861314654,1.6811 * y + 0.0484 * ((sin(cos(exp(sin(y)))) * y) * (((x * x) * cos(y)) * cos(exp(y)))) + 0.9936 * x + 0.1922 * cos(cos(exp(sin(y)))) + 0.5680 * cos(y) + 0.2662 * exp(y) + -2.0188 * (cos(x) * y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'exp(exp(sin(cos(sin(y)))))', 'sin(cos(exp(exp(sin((exp(y) * cos(y)))))))', 'cos(exp(exp(exp(sin(exp(x))))))', '(x * y)', 'exp((exp(y) * y))', 'sin((exp(y) * exp(y)))', '(x * sin(y))', 'cos(x)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(x)', 'x', '(y * cos(x))', '(y * x)', 'exp(exp(y))']",0.00641128121435254,-5015.157374193387,0.4272 * exp(x) + 2.0481 * y + 0.5280 * cos(x) + 0.5243 * x + -2.0647 * (y * cos(x))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['sin((x * (sin(y) * exp(exp(exp((cos(x) * exp(y))))))))', '(exp(exp(exp(y))) * x)', 'exp((exp((exp((exp(y) * y)) * x)) * y))', 'exp((exp(exp(x)) * exp(cos(x))))', '(y * (cos(exp(x)) * exp(x)))', '((sin(exp(exp(x))) * x) * x)', 'exp((y * exp(exp(y))))', 'sin((((y * sin(sin(y))) * exp(exp(exp(cos(y))))) * cos(y)))', 'exp(exp(exp(y)))']",1.2559031069350473,113.92746045512447,dx/dt = 0
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(cos(x))', 'exp((y * (cos(x) * exp(exp(cos(y))))))', 'cos(y)', 'exp(exp(exp(y)))', 'exp(exp(exp(cos(sin(y)))))', 'cos(exp(exp(exp((exp(x) * x)))))', '(x * cos(exp((sin(x) * x))))', 'cos((exp(x) * y))', 'sin(cos(exp(exp(cos(y)))))']",0.08790024428820215,-2410.8294292974874,0.8398 * exp(x) + 0.0984 * exp(cos(x)) + -0.3007 * cos(y)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', '(cos(exp(y)) * (x * x))', 'cos(exp((y * y)))', 'x', 'y', '(exp(x) * y)', 'cos(exp(cos(exp((exp(x) * exp(y))))))']",0.010414335840852442,-2263.6421635966553,0.8833 * exp(x) + -1.0488 * (cos(exp(y)) * (x * x)) + 0.2487 * cos(exp((y * y)))
"{'n_episodes': 500, 'n_simulations': 20, 't_max': 20, 'c': 1.0, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'x', 'exp((x * sin(exp(y))))']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (y * cos(x)) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
